1,27,59275.52051459419
2,54,407.01272159152563
3,81,429.13038380940753
4,108,828.0151710510254
5,135,709.3154267205132
6,162,522.4239682798033
7,189,572.9461093478733
8,216,707.053044071904
9,243,755.3271868670428
10,270,991.5142437970197
11,297,1354.9346675166378
12,324,1015.9856861255787
13,351,1080.1981517650463
14,378,1385.2788311993634
15,405,970.2084644458912
16,432,1030.1165703667534
17,459,956.1115033185041
18,486,918.5766398111979
19,513,902.5693020290798
20,540,845.5451185438368
21,567,875.1104419849537
22,594,928.4736237702547
